ArraySize ThreadCount Time[s] Bandwidth[Bytes/s]
65536 1 0.0009490000000000001 564995644.8231983
65536 2 0.0006720000000000001 862313746.1170533
65536 3 0.0005556666666666667 1120535841.2852302
65536 4 0.0007283333333333331 877989576.2892478
65536 5 0.0007756666666666668 766561375.7186254
65536 6 0.0008289999999999999 705289849.8625138
65536 7 0.0008726666666666668 795847745.2254653
65536 8 0.0009359999999999999 626979093.0029244
65536 9 0.0008756666666666665 642713072.4359735
65536 10 0.0010366666666666669 657300479.7854282
65536 11 0.0008990000000000001 649621868.8510265
65536 12 0.0008510000000000001 706577368.9113433
65536 13 0.0011966666666666664 567501875.6779158
65536 14 0.0008653333333333333 698914548.32743
65536 15 0.0010583333333333334 634316080.3491625
65536 16 0.0008376666666666668 712258723.0650907
65536 17 0.0010786666666666664 640626408.2198983
65536 18 0.0009470000000000001 644723378.6851411
65536 19 0.000993 605502914.0262811
131072 1 0.0018046666666666664 598105397.8238052
131072 2 0.0012203333333333337 947967771.7540072
131072 3 0.0011660000000000002 1123131666.7648695
131072 4 0.001172 1033157592.7902343
131072 5 0.0014690000000000003 786766463.0283133
131072 6 0.0012409999999999997 926737466.3730223
131072 7 0.0012533333333333333 943370176.1428081
131072 8 0.001371 920654892.4715489
131072 9 0.0012879999999999999 923346986.9556377
131072 10 0.001443 817403869.5124497
131072 11 0.001402 790954226.881407
131072 12 0.0015853333333333331 763854533.6853927
131072 13 0.0014806666666666664 849004364.296555
131072 14 0.0015500000000000002 804414655.4606438
131072 15 0.001166 966885958.5925578
131072 16 0.001504333333333333 812987258.8546504
131072 17 0.0013080000000000001 867074963.6038247
131072 18 0.0013120000000000002 909651024.0767076
131072 19 0.001200666666666667 953591751.5865712
262144 1 0.003479666666666666 618152422.2750793
262144 2 0.002584666666666666 977839321.7945068
262144 3 0.0018913333333333332 1199306207.375273
262144 4 0.0022099999999999997 1070210319.0856782
262144 5 0.002087666666666667 1170703268.9513557
262144 6 0.002127333333333334 1075196449.775426
262144 7 0.002222333333333333 1077957505.4067981
262144 8 0.0022030000000000005 1054959967.171476
262144 9 0.0020029999999999996 1209764247.2892427
262144 10 0.001899666666666667 1173161819.0674138
262144 11 0.0019186666666666668 1232946885.8947718
262144 12 0.002090333333333333 1140874884.7424572
