Operations;Threads;OpsPerSecond
100000;2;253610
100000;4;229567
100000;8;198746
100000;12;120368
100000;16;188347
100000;24;190263
100000;32;280254
100000;48;255804
500000;2;261321
500000;4;224456
500000;8;197035
500000;12;121683
500000;16;194057
500000;24;197303
500000;32;301743
500000;48;224031
1000000;2;258468
1000000;4;225964
1000000;8;195936
1000000;12;118573
1000000;16;190379
1000000;24;187360
1000000;32;279385
1000000;48;216094
5000000;2;245971
5000000;4;221546
5000000;8;198375
5000000;12;119583
5000000;16;195049
5000000;24;191489
5000000;32;283603
5000000;48;211056
10000000;2;254875
10000000;4;217345
10000000;8;194636
10000000;12;120578
10000000;16;192847
10000000;24;191356
10000000;32;255037
10000000;48;201560
25000000;2;244639
25000000;4;216456
25000000;8;197305
25000000;12;116395
25000000;16;193457
25000000;24;191998
25000000;32;286309
25000000;48;206736
50000000;2;261789
50000000;4;215564
50000000;8;195267
50000000;12;115938
50000000;16;193021
50000000;24;189363
50000000;32;254084
50000000;48;200836
