1.53581e+06 2.43855e+07 8.06597e+06 1.46654e+07
15378.2 1.16444e+06 854063 1.49743e+06
10507.6 350870 289682 622670
7789.18 291210 297701 543726
6150.52 252077 265378 312588
5119.78 252259 205795 247160
4671.02 209328 191460 208247
3657.27 171378 193348 195393
3329.89 171029 191538 235186
2773.17 147060 229724 198999
2441.15 127634 193206 203538
2235.03 121020 174799 197518
2154.27 99257 158599 155858
1945.43 98950.3 197008 175869
1601.36 98319.4 165404 181352
1518.07 89390.8 204790 168690
1436.83 87734.1 157533 154390
1261.37 83583.5 139239 136520
1127.48 80723.3 156691 141422
1038.95 81220.4 159491 150038
1005.59 73415.6 145686 146973
973.922 71571.5 140447 126985
923.777 64527.8 121935 115168
884.751 66528.7 166361 148545
860.398 64445.5 171996 140805
832.082 61087.1 162709 135283
787.807 60558.8 158503 133674
762.433 54553 156253 128814
734.555 56113.3 115715 109518
716.362 54945.3 153942 140607
698.295 53743.5 146413 145752
675.095 48603.1 159261 120568
1161.92 53762.8 145813 131702
734.836 51565.1 136112 122684
708.808 45103.9 122565 135484
705.546 48332.6 131442 121034
640.078 44298.9 127879 130072
652.403 43094.1 127879 123748
615.978 41438.7 116512 121504
597.972 40054.5 125582 123409
634.829 36382.4 117771 117468
588.268 36780.8 127177 113213
547.289 35173 113470 115782
566.999 34890.6 115635 111087
531.823 32841.9 114218 110461
527.248 32001 116253 109158
534.647 34088.9 100817 112535
519.759 31188.6 97247.9 109349
